|     DG 7845 SE      |     2       |     9:45:21      |   9:45:21     |  10:30:21    |     1        |   14/ 4/2022      |
|           1      |     1       |     9:20:30      |   9:20:30     |   9:50:30    |     1        |   14/ 4/2022      |
|     G 7543 JK      |     2       |     9:12:30      |   9:12:30     |   9:57:30    |     1        |   14/ 4/2022      |
|     D 5891 DF      |     2       |     9: 0: 0      |   9: 0: 0     |   9:45: 0    |     2        |   14/ 4/2022      |
|     GH 5673 SE      |     3       |    10: 0: 0      |  10: 0: 0     |  11:15: 0    |     3        |   14/ 4/2022      |
|           1      |     1       |     9:30:20      |  10: 2:30     |  10:32:30    |     1        |   14/ 4/2022      |
|     DF 7854 DS      |     2       |    11:20:40      |  11: 5:40     |  11:50:40    |     2        |   14/ 4/2022      |
|           2      |     2       |    12:15: 0      |  12: 5: 0     |  13:50: 0    |     3        |   14/ 4/2022      |
|     DF 8945 GH      |     3       |     9:15:30      |  10:37:30     |  11:52:30    |     1        |   14/ 4/2022      |
|           3      |     3       |    14:23:55      |  14: 5:55     |  15:20:55    |     2        |   14/ 4/2022      |
|     GH 4 SF      |     3       |    13:56:33      |  13: 5:33     |  14:20:33    |     3        |   14/ 4/2022      |
|     G 4532 hj      |     2       |    10:45:22      |  11:57:30     |  13:42:30    |     1        |   14/ 4/2022      |
|     HJ 5432 UU      |     2       |     9:20:22      |  15:25:55     |  16:10:55    |     2        |   14/ 4/2022      |
|     G 5432 UK      |     2       |    10:21:22      |  14:25:33     |  15:10:33    |     3        |   14/ 4/2022      |
|     H 5432 KL      |     3       |    10:20:22      |  13:47:30     |  15: 2:30    |     1        |   14/ 4/2022      |
|     GH 54 HJ      |     2       |    13:45:22      |  16:15:55     |  17: 0:55    |     2        |   14/ 4/2022      |
|     GH 4321 JK      |     3       |     9:40:20      |  15:15:33     |  16:30:33    |     3        |   14/ 4/2022      |
|     HJ 3421 KL      |     2       |    10:34:22      |  15: 7:30     |  15:52:30    |     1        |   14/ 4/2022      |
|      B 1 RI      |     2       |     9: 0: 0      |   9: 0: 0     |   9:45: 0    |     1        |   16/ 4/2022      |
|     DR 4333 SD      |     3       |     9:10:22      |   9:10:22     |  10:25:22    |     2        |   16/ 4/2022      |
